C++ Loop Execution time (ns),Java Loop Execution time (ns)
13979717,1882962
15712425,2190161
17642559,3895031
19836609,2963442
358,1117
122081,10998
334737,28338
640336,50708
1036161,87354
1533524,148510
2129317,247815
2852514,329571
3671817,440161
4567257,566087
5578763,721436
6638872,881198
7863659,1069129
9152466,1232831
10652955,1478784
13341338,1644902
14750205,1843708
15645648,2336871
17954762,2462963
19692769,2972527
378,1613
120600,11040
336048,29140
635749,49358
1042046,89254
1533561,140530
2140652,237667
2843493,331076
3654189,434498
4556553,581341
5596791,726232
6624857,883256
7817425,1074382
9150003,1222747
10562757,1499736
12066860,1641377
13856429,1857995
15617087,2320126
17340583,2712472
19901149,3199949
417,1421
120719,11124
332753,27868
639345,50286
1040126,87499
1531290,144474
2141001,235966
2838103,355550
3652709,436988
4624538,575865
5868792,713795
6630142,880631
7864448,1045767
9126109,1222065
10602696,1579832
12010938,1714081
13816435,1983445
15518204,2248136
17405199,2486564
19543955,3045991
367,938
119576,11535
312022,28838
566672,49779
926148,90086
1502621,145856
2140500,239484
2840282,342922
3672695,429226
4578743,576866
5592159,692338
6710844,880060
7896141,1023041
9216882,1258834
10906078,1528263
12102377,1687816
13841235,1899042
15597782,2250824
17698010,2551394
21772030,3249164
378,1650
119549,11525
388664,27936
640901,50357
1045691,88644
1537003,143608
2137583,237430
2861870,347900
3697612,449862
4560219,609886
5548189,716027
7351156,910311
7999107,1088777
9185791,1313457
10737099,1533804
12006186,1729395
13835357,1996019
17071514,2172533
18367746,2459168
20553657,4763064
385,2046
121475,11391
335855,28267
645441,49431
1128790,88194
1537148,149420
2135264,233778
2851331,324200
3663895,436509
4567325,565266
5554977,728236
6654641,880071
7881426,1048665
9196485,1208888
10755511,1423224
12107441,1634990
13773405,1848024
15952928,2166223
17648276,2436972
19558572,2850211
376,1514
119479,11946
331736,30169
643228,49789
1042232,93992
1532432,143679
2146191,236358
2839089,343217
3656147,443531
4576553,567006
5670355,737295
6639625,882492
7839387,1074019
9149152,1203058
10814898,1465723
12240398,1620077
13927480,1855375
15712988,2187805
17342901,2518627
19708445,3025084
368,982
121147,11396
337180,28554
638230,50562
1040745,88244
1538869,145765
2134904,238560
2846629,342756
3684641,452948
4646873,563289
5878045,704809
6639776,875551
7841381,1042922
9152514,1251843
10587123,1537436
12013387,1695581
15748562,1890469
16133093,2272540
17350405,2525189
19687611,3098332
389,1030
118379,11449
303083,28703
575461,48789
927639,87688
1490649,167996
2129353,235043
2839314,329869
3669925,458050
4618137,560553
5588254,691646
6688911,880830
7919517,1046650
9287761,1274668
10955184,1472203
12140150,1705576
13886339,2410080
15646910,2310082
17627496,2496368
19671577,3027941
424,1621
120760,11396
335174,30180
637503,50177
1042830,86679
1534981,141578
2144300,245234
2846044,325236
3670510,433148
4573212,577900
5747112,777288
6671870,865760
7911780,1044249
9236564,1224207
10758431,1583059
12083193,1782906
13912210,1879688
15760243,2215883
17368653,2542039
20233843,2829493
385,1554
122944,11258
337223,30585
642201,48555
1039159,89515
1536215,158084
2128175,236761
2859159,331177
3673158,439895
4568432,1460179
5582387,759124
6667818,921903
7845476,1054157
9244278,1205239
10808423,1430107
12131465,1621425
13731424,1832761
15661404,2250129
17403548,2549807
19625736,3284133
342,1648
119344,11364
334560,25796
640728,48651
1046088,112272
1534590,169557
2129441,235355
3190345,325016
3994989,498072
4878499,555898
5691264,785654
6702932,912747
7973418,1216272
10390632,1337145
11420360,1562134
12995254,1711530
14086594,2262153
15471896,3177320
18595653,2666990
20450756,3214918
393,1184
119142,11172
337564,25378
679209,51533
1043749,91585
1531823,175330
2140781,259788
2837650,357463
3648728,490860
4631405,571306
5860991,775070
6625088,928237
7821746,1082383
9122826,1255644
10537567,1517283
12009862,1859463
13811062,2052028
15494610,2581602
17536855,2740702
19659059,3383420
389,5692
119380,14141
306167,28984
568505,54094
925046,96223
1495984,141875
2141577,233295
2834066,325224
3691324,440825
4573233,568104
5563129,701918
6665651,878688
7892882,1337782
9237064,1421495
11415161,1580582
12191173,1970748
13915990,2021973
15612733,2430620
17685991,2752543
19657698,3405289
421,1713
119976,11222
334589,27931
638559,48934
1042936,89632
1547087,140731
2160829,232788
2851649,338444
3710379,427449
4570373,564874
5561719,699436
6629968,870864
7836379,1042477
9148085,1250924
10745709,1511625
12038119,1718469
15707321,1914395
